cols,urls,case
(),https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=517518&qtrid=102,0
"('Category of shareholder', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', ' Number of equity shares held in dematerialized form')",https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=524500&qtrid=93,1
"('Category of shareholder', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', ' Number of Shares pledged or otherwise encumbered', ' Number of equity shares held in dematerialized form', 'No.(a)', 'As a % of total Shares held(b)')",https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=514034&qtrid=97,2
"('Category of shareholder', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', ' Number of Locked in shares', ' Number of equity shares held in dematerialized form', 'No.(a)', 'As a % of total Shares held(b)')",https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=532162&qtrid=97,3
"('Category of shareholder', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', ' Number of Locked in shares', ' Number of Shares pledged or otherwise encumbered', ' Number of equity shares held in dematerialized form', 'No.(a)', 'As a % of total Shares held(b)', 'No.(a)', 'As a % of total Shares held(b)')",https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=531882&qtrid=89,4
"('Category of shareholder', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Voting Rights held in each class of securities', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', ' Number of Locked in shares', ' Number of Shares pledged or otherwise encumbered', ' Number of equity shares held in dematerialized form', '', 'Total as a % of (A+B+C) ', 'No.(a)', 'As a % of total Shares held(b)', 'No.(a)', 'As a % of total Shares held(b)', 'Class eg: X', 'Class eg:y', 'Total')",https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=512579&qtrid=97,5
"('Category of shareholder', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Voting Rights held in each class of securities', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', ' Number of Locked in shares', ' Number of Shares pledged or otherwise encumbered', ' Number of equity shares held in dematerialized form', '', 'Total as a % of (A+B+C) ', 'No.(a)', 'As a % of total Shares held(b)', 'No.(a)', 'As a % of total Shares held(b)', 'Class eg: X', 'Class eg:y', 'Total')",https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=512579&qtrid=89,6
"('Category of shareholder', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Voting Rights held in each class of securities', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', ' Number of Locked in shares', ' Number of Shares pledged or otherwise encumbered', ' Number of equity shares held in dematerialized form', '', 'Total as a % of (A+B+C) ', 'No.(a)', 'As a % of total Shares held(b)', 'No.(a)', 'As a % of total Shares held(b)', 'Class eg: X', 'Class eg:y', 'Total')",https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=531495&qtrid=89,7
"('Category of shareholder', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Voting Rights held in each class of securities', ' Number of equity shares held in dematerialized form', '', 'Total as a % of (A+B+C) ', 'Class eg: X', 'Class eg:y', 'Total')",https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=500676&qtrid=102,8
"('Category of shareholder', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Voting Rights held in each class of securities', ' Number of Shares pledged or otherwise encumbered', ' Number of equity shares held in dematerialized form', '', 'Total as a % of (A+B+C) ', 'No.(a)', 'As a % of total Shares held(b)', 'Class eg: X', 'Class eg:y', 'Total')",https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=523574&qtrid=102,9
